stage_name,stage_date,stage_length,stage_PNT_rank,stage_PNT_rider,stage_PNT_team,stage_PNT_points
Stage 11 | Camaiore - Tortona,17/05,(219k),47,PINOT Thibaut,Groupama - FDJ,5
Stage 11 | Camaiore - Tortona,17/05,(219k),48,PARET-PEINTRE Valentin,AG2R Citroën Team,5
Stage 11 | Camaiore - Tortona,17/05,(219k),49,DELETTRE Alexandre,Cofidis,5
Stage 11 | Camaiore - Tortona,17/05,(219k),50,MAGLI Filippo,Green Project-Bardiani CSF-Faizanè,5
Stage 11 | Camaiore - Tortona,17/05,(219k),51,MULUBRHAN Henok,Green Project-Bardiani CSF-Faizanè,5
Stage 11 | Camaiore - Tortona,17/05,(219k),52,CARUSO Damiano,Bahrain - Victorious,4
Stage 11 | Camaiore - Tortona,17/05,(219k),53,DUNBAR Eddie,Team Jayco AlUla,4
Stage 11 | Camaiore - Tortona,17/05,(219k),54,ARENSMAN Thymen,INEOS Grenadiers,4
Stage 11 | Camaiore - Tortona,17/05,(219k),55,VELASCO Simone,Astana Qazaqstan Team,4
Stage 11 | Camaiore - Tortona,17/05,(219k),56,VINE Jay,UAE Team Emirates,4
Stage 11 | Camaiore - Tortona,17/05,(219k),57,BOUWMAN Koen,Jumbo-Visma,4
Stage 11 | Camaiore - Tortona,17/05,(219k),58,TONELLI Alessandro,Green Project-Bardiani CSF-Faizanè,3
Stage 11 | Camaiore - Tortona,17/05,(219k),59,MCNULTY Brandon,UAE Team Emirates,3
Stage 11 | Camaiore - Tortona,17/05,(219k),60,VERRE Alessandro,Team Arkéa Samsic,3
Stage 11 | Camaiore - Tortona,17/05,(219k),61,KÄMNA Lennard,BORA - hansgrohe,2
Stage 11 | Camaiore - Tortona,17/05,(219k),62,GIBBONS Ryan,UAE Team Emirates,2
Stage 11 | Camaiore - Tortona,17/05,(219k),63,MARCELLUSI Martin,Green Project-Bardiani CSF-Faizanè,2
Stage 11 | Camaiore - Tortona,17/05,(219k),64,LIENHARD Fabian,Groupama - FDJ,2
Stage 11 | Camaiore - Tortona,17/05,(219k),65,STEWART Campbell,Team Jayco AlUla,2
Stage 11 | Camaiore - Tortona,17/05,(219k),66,SCARONI Christian,Astana Qazaqstan Team,1
Stage 11 | Camaiore - Tortona,17/05,(219k),67,PÖSTLBERGER Lukas,Team Jayco AlUla,1
Stage 11 | Camaiore - Tortona,17/05,(219k),68,KIRSCH Alex,Trek - Segafredo,1
Stage 11 | Camaiore - Tortona,17/05,(219k),69,HEPBURN Michael,Team Jayco AlUla,1
Stage 11 | Camaiore - Tortona,17/05,(219k),-,DAINESE Alberto,Team DSM,-13
Stage 12 | Bra - Rivoli,18/05,(185k),1,MILAN Jonathan,Bahrain - Victorious,164
Stage 12 | Bra - Rivoli,18/05,(185k),2,PEDERSEN Mads,Trek - Segafredo,140
Stage 12 | Bra - Rivoli,18/05,(185k),3,ACKERMANN Pascal,UAE Team Emirates,88
Stage 12 | Bra - Rivoli,18/05,(185k),4,MATTHEWS Michael,Team Jayco AlUla,68
Stage 12 | Bra - Rivoli,18/05,(185k),5,GEE Derek,Israel - Premier Tech,64
Stage 12 | Bra - Rivoli,18/05,(185k),6,CORT Magnus,EF Education-EasyPost,56
Stage 12 | Bra - Rivoli,18/05,(185k),7,SKUJIŅŠ Toms,Trek - Segafredo,51
Stage 12 | Bra - Rivoli,18/05,(185k),8,CAVENDISH Mark,Astana Qazaqstan Team,51
Stage 12 | Bra - Rivoli,18/05,(185k),9,ALBANESE Vincenzo,EOLO-Kometa,44
Stage 12 | Bra - Rivoli,18/05,(185k),10,BAIS Davide,EOLO-Kometa,39
Stage 12 | Bra - Rivoli,18/05,(185k),11,DE MARCHI Alessandro,Team Jayco AlUla,37
Stage 12 | Bra - Rivoli,18/05,(185k),12,PARET-PEINTRE Aurélien,AG2R Citroën Team,33
Stage 12 | Bra - Rivoli,18/05,(185k),13,OLDANI Stefano,Alpecin-Deceuninck,32
Stage 12 | Bra - Rivoli,18/05,(185k),14,MAYRHOFER Marius,Team DSM,31
Stage 12 | Bra - Rivoli,18/05,(185k),15,HEALY Ben,EF Education-EasyPost,29
Stage 12 | Bra - Rivoli,18/05,(185k),16,MARIT Arne,Intermarché - Circus - Wanty,29
Stage 12 | Bra - Rivoli,18/05,(185k),17,DENZ Nico,BORA - hansgrohe,25
Stage 12 | Bra - Rivoli,18/05,(185k),18,FIORELLI Filippo,Green Project-Bardiani CSF-Faizanè,25
Stage 12 | Bra - Rivoli,18/05,(185k),19,LEKNESSUND Andreas,Team DSM,22
Stage 12 | Bra - Rivoli,18/05,(185k),20,STOJNIĆ Veljko,Team Corratec - Selle Italia,20
Stage 12 | Bra - Rivoli,18/05,(185k),21,ROGLIČ Primož,Jumbo-Visma,20
Stage 12 | Bra - Rivoli,18/05,(185k),22,MAESTRI Mirco,EOLO-Kometa,19
Stage 12 | Bra - Rivoli,18/05,(185k),23,BONIFAZIO Niccolò,Intermarché - Circus - Wanty,19
Stage 12 | Bra - Rivoli,18/05,(185k),24,VERONA Carlos,Movistar Team,18
Stage 12 | Bra - Rivoli,18/05,(185k),25,KONYCHEV Alexander,Team Corratec - Selle Italia,18
Stage 12 | Bra - Rivoli,18/05,(185k),26,THOMAS Geraint,INEOS Grenadiers,18
Stage 12 | Bra - Rivoli,18/05,(185k),27,CHAMPION Thomas,Cofidis,18
Stage 12 | Bra - Rivoli,18/05,(185k),28,VACEK Karel,Team Corratec - Selle Italia,18
Stage 12 | Bra - Rivoli,18/05,(185k),29,CONSONNI Simone,Cofidis,16
Stage 12 | Bra - Rivoli,18/05,(185k),30,ALMEIDA João,UAE Team Emirates,14
Stage 12 | Bra - Rivoli,18/05,(185k),31,BARGUIL Warren,Team Arkéa Samsic,14
Stage 12 | Bra - Rivoli,18/05,(185k),32,DALLA VALLE Nicolas,Team Corratec - Selle Italia,14
Stage 12 | Bra - Rivoli,18/05,(185k),33,BAIS Mattia,EOLO-Kometa,13
Stage 12 | Bra - Rivoli,18/05,(185k),34,QUARTERMAN Charlie,Team Corratec - Selle Italia,12
Stage 12 | Bra - Rivoli,18/05,(185k),35,ZANA Filippo,Team Jayco AlUla,12
Stage 12 | Bra - Rivoli,18/05,(185k),36,BERWICK Sebastian,Israel - Premier Tech,12
Stage 12 | Bra - Rivoli,18/05,(185k),37,TONELLI Alessandro,Green Project-Bardiani CSF-Faizanè,11
Stage 12 | Bra - Rivoli,18/05,(185k),38,BALLERINI Davide,Soudal - Quick Step,11
Stage 12 | Bra - Rivoli,18/05,(185k),39,GHEBREIGZABHIER Amanuel,Trek - Segafredo,10
Stage 12 | Bra - Rivoli,18/05,(185k),40,GAVIRIA Fernando,Movistar Team,10
Stage 12 | Bra - Rivoli,18/05,(185k),41,FRIGO Marco,Israel - Premier Tech,8
Stage 12 | Bra - Rivoli,18/05,(185k),42,GAVAZZI Francesco,EOLO-Kometa,8
Stage 12 | Bra - Rivoli,18/05,(185k),43,REX Laurenz,Intermarché - Circus - Wanty,8
Stage 12 | Bra - Rivoli,18/05,(185k),44,ARMIRAIL Bruno,Groupama - FDJ,7
Stage 12 | Bra - Rivoli,18/05,(185k),45,ROTA Lorenzo,Intermarché - Circus - Wanty,7
Stage 12 | Bra - Rivoli,18/05,(185k),46,SCARONI Christian,Astana Qazaqstan Team,7
Stage 12 | Bra - Rivoli,18/05,(185k),47,STEWART Jake,Groupama - FDJ,7
Stage 12 | Bra - Rivoli,18/05,(185k),48,CLARKE Simon,Israel - Premier Tech,6
Stage 12 | Bra - Rivoli,18/05,(185k),49,SÜTTERLIN Jasha,Bahrain - Victorious,6
Stage 12 | Bra - Rivoli,18/05,(185k),50,SEVILLA Diego Pablo,EOLO-Kometa,6
Stage 12 | Bra - Rivoli,18/05,(185k),51,KANTER Max,Movistar Team,6
Stage 12 | Bra - Rivoli,18/05,(185k),52,PINOT Thibaut,Groupama - FDJ,5
Stage 12 | Bra - Rivoli,18/05,(185k),53,VAN WILDER Ilan,Soudal - Quick Step,5
Stage 12 | Bra - Rivoli,18/05,(185k),54,PARET-PEINTRE Valentin,AG2R Citroën Team,5
Stage 12 | Bra - Rivoli,18/05,(185k),55,DELETTRE Alexandre,Cofidis,5
Stage 12 | Bra - Rivoli,18/05,(185k),56,MAGLI Filippo,Green Project-Bardiani CSF-Faizanè,5
Stage 12 | Bra - Rivoli,18/05,(185k),57,MULUBRHAN Henok,Green Project-Bardiani CSF-Faizanè,5
Stage 12 | Bra - Rivoli,18/05,(185k),58,CARUSO Damiano,Bahrain - Victorious,4
Stage 12 | Bra - Rivoli,18/05,(185k),59,DUNBAR Eddie,Team Jayco AlUla,4
Stage 12 | Bra - Rivoli,18/05,(185k),60,ARENSMAN Thymen,INEOS Grenadiers,4
Stage 12 | Bra - Rivoli,18/05,(185k),61,VELASCO Simone,Astana Qazaqstan Team,4
Stage 12 | Bra - Rivoli,18/05,(185k),62,BOUWMAN Koen,Jumbo-Visma,4
Stage 12 | Bra - Rivoli,18/05,(185k),63,VINE Jay,UAE Team Emirates,4
Stage 12 | Bra - Rivoli,18/05,(185k),64,BETTIOL Alberto,EF Education-EasyPost,4
Stage 12 | Bra - Rivoli,18/05,(185k),65,MOLLEMA Bauke,Trek - Segafredo,4
Stage 12 | Bra - Rivoli,18/05,(185k),66,MCNULTY Brandon,UAE Team Emirates,3
Stage 12 | Bra - Rivoli,18/05,(185k),67,VERRE Alessandro,Team Arkéa Samsic,3
Stage 12 | Bra - Rivoli,18/05,(185k),68,KÄMNA Lennard,BORA - hansgrohe,2
Stage 12 | Bra - Rivoli,18/05,(185k),69,HESSMANN Michel,Jumbo-Visma,2
Stage 12 | Bra - Rivoli,18/05,(185k),70,GIBBONS Ryan,UAE Team Emirates,2
Stage 12 | Bra - Rivoli,18/05,(185k),71,MARCELLUSI Martin,Green Project-Bardiani CSF-Faizanè,2
Stage 12 | Bra - Rivoli,18/05,(185k),72,LIENHARD Fabian,Groupama - FDJ,2
Stage 12 | Bra - Rivoli,18/05,(185k),73,STEWART Campbell,Team Jayco AlUla,2
Stage 12 | Bra - Rivoli,18/05,(185k),74,LASTRA Jonathan,Cofidis,1
Stage 12 | Bra - Rivoli,18/05,(185k),75,PÖSTLBERGER Lukas,Team Jayco AlUla,1
Stage 12 | Bra - Rivoli,18/05,(185k),76,BAUDIN Alex,AG2R Citroën Team,1
Stage 12 | Bra - Rivoli,18/05,(185k),77,KIRSCH Alex,Trek - Segafredo,1
Stage 12 | Bra - Rivoli,18/05,(185k),78,HEPBURN Michael,Team Jayco AlUla,1
Stage 12 | Bra - Rivoli,18/05,(185k),-,DAINESE Alberto,Team DSM,-13
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),1,THOMAS Geraint,INEOS Grenadiers,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),2,ROGLIČ Primož,2″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),3,ALMEIDA João,UAE Team Emirates,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),4,LEKNESSUND Andreas,9″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),5,CARUSO Damiano,Bahrain - Victorious,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),6,KÄMNA Lennard,BORA - hansgrohe,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),7,DUNBAR Eddie,Team Jayco AlUla,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),8,ARENSMAN Thymen,INEOS Grenadiers,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),9,DE PLUS Laurens,INEOS Grenadiers,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),10,PINOT Thibaut,6″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),11,CARTHY Hugh,EF Education-EasyPost,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),12,PARET-PEINTRE Aurélien,10″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),13,BUITRAGO Santiago,Bahrain - Victorious,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),14,VAN WILDER Ilan,Soudal - Quick Step,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),15,HAIG Jack,Bahrain - Victorious,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),16,KONRAD Patrick,BORA - hansgrohe,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),17,RUBIO Einer Augusto,13″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),18,KUSS Sepp,Jumbo-Visma,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),19,CEPEDA Jefferson Alexander,4″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),20,VELASCO Simone,Astana Qazaqstan Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),21,LASTRA Jonathan,Cofidis,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),22,FORTUNATO Lorenzo,EOLO-Kometa,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),23,ARMIRAIL Bruno,Groupama - FDJ,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),24,COVILI Luca,Green Project-Bardiani CSF-Faizanè,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),25,PARET-PEINTRE Valentin,AG2R Citroën Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),26,BOUWMAN Koen,1″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),27,HUYS Laurens,Intermarché - Circus - Wanty,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),28,SIVAKOV Pavel,INEOS Grenadiers,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),29,ULISSI Diego,UAE Team Emirates,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),30,ZANA Filippo,4″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),31,FORMOLO Davide,UAE Team Emirates,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),32,TONELLI Alessandro,3″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),33,BARTA Will,Movistar Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),34,BARGUIL Warren,Team Arkéa Samsic,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),35,HESSMANN Michel,Jumbo-Visma,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),36,GEE Derek,15″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),37,SKUJIŅŠ Toms,14″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),38,SÁNCHEZ Luis León,Astana Qazaqstan Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),39,FRIGO Marco,Israel - Premier Tech,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),40,PRODHOMME Nicolas,AG2R Citroën Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),41,ROTA Lorenzo,Intermarché - Circus - Wanty,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),42,VINE Jay,UAE Team Emirates,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),43,OOMEN Sam,Jumbo-Visma,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),44,MCNULTY Brandon,UAE Team Emirates,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),45,OLDANI Stefano,Alpecin-Deceuninck,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),46,JUNGELS Bob,BORA - hansgrohe,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),47,DE MARCHI Alessandro,8″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),48,PALZER Anton,BORA - hansgrohe,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),49,DENNIS Rohan,Jumbo-Visma,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),50,DENZ Nico,12″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),51,ZAMBANINI Edoardo,Bahrain - Victorious,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),52,SCARONI Christian,Astana Qazaqstan Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),53,BAIS Mattia,5″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),54,HEALY Ben,10″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),55,BETTIOL Alberto,EF Education-EasyPost,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),56,BIDARD François,Cofidis,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),57,MOLLEMA Bauke,Trek - Segafredo,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),58,BERWICK Sebastian,4″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),59,CORT Magnus,13″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),60,GHEBREIGZABHIER Amanuel,Trek - Segafredo,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),61,CHAMPION Thomas,5″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),62,PASQUALON Andrea,Bahrain - Victorious,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),63,DOMBROWSKI Joe,Astana Qazaqstan Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),64,WARBASSE Larry,AG2R Citroën Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),65,SÜTTERLIN Jasha,Bahrain - Victorious,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),66,RICCITELLO Matthew,1″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),67,VERONA Carlos,Movistar Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),68,ALBANESE Vincenzo,2″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),69,SWIFT Ben,INEOS Grenadiers,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),70,GLOAG Thomas,Jumbo-Visma,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),71,GIBBONS Ryan,UAE Team Emirates,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),72,PRONSKIY Vadim,Astana Qazaqstan Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),73,GAVAZZI Francesco,1″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),74,GABBURO Davide,Green Project-Bardiani CSF-Faizanè,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),75,MOLARD Rudy,Groupama - FDJ,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),76,RIES Michel,Team Arkéa Samsic,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),77,PUCCIO Salvatore,INEOS Grenadiers,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),78,TOUMIRE Hugo,Cofidis,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),79,MATTHEWS Michael,10″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),80,SERRY Pieter,Soudal - Quick Step,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),81,MAYRHOFER Marius,Team DSM,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),82,MAESTRI Mirco,EOLO-Kometa,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),83,ACKERMANN Pascal,14″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),84,BAIS Davide,13″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),85,BOUET Maxime,Team Arkéa Samsic,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),86,PÖSTLBERGER Lukas,Team Jayco AlUla,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),87,AFFINI Edoardo,Jumbo-Visma,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),88,CLARKE Simon,3″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),89,ROJAS José Joaquín,Movistar Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),90,VACEK Karel,7″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),91,MILAN Jonathan,28″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),92,SEVILLA Diego Pablo,1″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),93,LEYSEN Senne,Alpecin-Deceuninck,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),94,BATTISTELLA Samuele,Astana Qazaqstan Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),95,DELETTRE Alexandre,Cofidis,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),96,STEWART Jake,Groupama - FDJ,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),97,SBARAGLI Kristian,Alpecin-Deceuninck,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),98,MARCELLUSI Martin,Green Project-Bardiani CSF-Faizanè,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),99,BAUDIN Alex,AG2R Citroën Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),100,MÄRKL Niklas,Team DSM,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),101,REX Laurenz,Intermarché - Circus - Wanty,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),102,DE BOD Stefan,EF Education-EasyPost,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),103,CONSONNI Simone,Cofidis,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),104,KIRSCH Alex,Trek - Segafredo,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),105,GUERNALEC Thibault,Team Arkéa Samsic,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),106,BALLERINI Davide,Soudal - Quick Step,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),107,HEPBURN Michael,Team Jayco AlUla,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),108,MAGLI Filippo,Green Project-Bardiani CSF-Faizanè,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),109,VERRE Alessandro,Team Arkéa Samsic,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),110,WILLIAMS Stephen,Israel - Premier Tech,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),111,MULUBRHAN Henok,Green Project-Bardiani CSF-Faizanè,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),112,BONIFAZIO Niccolò,Intermarché - Circus - Wanty,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),113,KANTER Max,Movistar Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),114,QUARTERMAN Charlie,Team Corratec - Selle Italia,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),115,KONOVALOVAS Ignatas,Groupama - FDJ,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),116,KONYCHEV Alexander,Team Corratec - Selle Italia,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),117,MOSCON Gianni,Astana Qazaqstan Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),118,STOJNIĆ Veljko,3″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),119,DAINESE Alberto,Team DSM,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),120,CAVENDISH Mark,4″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),121,FIORELLI Filippo,Green Project-Bardiani CSF-Faizanè,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),122,BENEDETTI Cesare,BORA - hansgrohe,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),123,LIENHARD Fabian,Groupama - FDJ,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),124,MARIT Arne,Intermarché - Circus - Wanty,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),125,TORRES Albert,Movistar Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),126,GAVIRIA Fernando,Movistar Team,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),127,HVIDEBERG Jonas Iversby,Team DSM,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),128,HOOLE Daan,Trek - Segafredo,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),129,RIOU Alan,Team Arkéa Samsic,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),130,DALLA VALLE Nicolas,Team Corratec - Selle Italia,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),131,IACCHI Alessandro,1″,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),132,KRIEGER Alexander,Alpecin-Deceuninck,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),133,VERGAERDE Otto,Trek - Segafredo,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),134,ARASHIRO Yukiya,Bahrain - Victorious,
Stage 13 | Le Châble - Crans-Montana,19/05,(74.6k),135,STEWART Campbell,Team Jayco AlUla,
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),1,MILAN Jonathan,Bahrain - Victorious,164
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),2,GEE Derek,Israel - Premier Tech,112
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),3,ACKERMANN Pascal,UAE Team Emirates,88
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),4,DENZ Nico,BORA - hansgrohe,75
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),5,SKUJIŅŠ Toms,Trek - Segafredo,71
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),6,MATTHEWS Michael,Team Jayco AlUla,68
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),7,CORT Magnus,EF Education-EasyPost,56
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),8,MAYRHOFER Marius,Team DSM,53
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),9,CAVENDISH Mark,Astana Qazaqstan Team,51
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),10,BAIS Davide,EOLO-Kometa,44
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),11,ALBANESE Vincenzo,EOLO-Kometa,44
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),12,DE MARCHI Alessandro,Team Jayco AlUla,41
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),13,OLDANI Stefano,Alpecin-Deceuninck,40
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),14,PARET-PEINTRE Aurélien,AG2R Citroën Team,33
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),15,HEALY Ben,EF Education-EasyPost,29
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),16,BETTIOL Alberto,EF Education-EasyPost,29
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),17,MAESTRI Mirco,EOLO-Kometa,29
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),18,MARIT Arne,Intermarché - Circus - Wanty,29
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),19,BALLERINI Davide,Soudal - Quick Step,28
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),20,REX Laurenz,Intermarché - Circus - Wanty,26
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),21,FIORELLI Filippo,Green Project-Bardiani CSF-Faizanè,25
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),22,LEKNESSUND Andreas,Team DSM,22
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),23,ROGLIČ Primož,Jumbo-Visma,21
Stage 14 | Sierre - Cassano Magnago,20/05,(194k),24,STOJNIĆ Veljko,Team Corratec - Selle Italia,20
